Latitude,Longitude,Speed_mph,Point_Index
42.83803113,-78.68776741,0.3049,77
42.83803106,-78.68776766,0.3231,78
42.83803103,-78.6877678,0.2504,79
42.83803101,-78.68776781,0.1921,80
42.83803105,-78.68776779,0.1005,81
42.83803088,-78.68776777,0.1382,82
42.83803076,-78.68776772,0.2749,83
42.8380307,-78.68776788,0.3048,84
42.83803074,-78.68776794,0.2767,85
42.8380307,-78.68776826,0.3839,86
42.83803067,-78.68776849,0.4506,87
42.83803065,-78.68776865,0.5417,88
42.83803066,-78.68776892,0.5123,89
42.83803062,-78.68776901,0.4726,90
42.83803073,-78.68776916,0.5008,91
42.83803071,-78.68776932,0.5306,92
42.83803072,-78.68776947,0.5148,93
42.83803074,-78.68776962,0.4444,94
42.83803079,-78.68776968,0.3866,95
42.83803082,-78.6877698,0.3852,96
42.838031,-78.68776989,0.6155,97
42.83803122,-78.68776996,0.569,98
42.83803134,-78.68777001,0.485,99
42.8380313,-78.68777007,0.3964,100
42.83803135,-78.68777003,0.1835,101
42.83803133,-78.68777002,0.056,102
42.83803137,-78.68777009,0.0973,103
42.83803137,-78.68777009,0.1313,104
42.83803145,-78.68777023,0.2073,105
42.83803149,-78.68777033,0.1951,106
42.83803149,-78.68777043,0.2457,107
42.83803126,-78.68777068,0.5475,108
42.83803117,-78.68777095,0.6986,109
42.83803122,-78.6877709,0.4348,110
42.83803104,-78.68777083,0.4071,111
42.83803095,-78.68777095,0.4855,112
42.83803098,-78.6877711,0.4425,113
42.83803106,-78.6877711,0.3514,114
42.83803119,-78.6877711,0.1835,115
42.83803135,-78.68777108,0.2088,116
42.83803129,-78.68777106,0.1693,117
42.83803103,-78.68777105,0.2812,118
42.83803102,-78.68777085,0.3363,119
42.83803102,-78.6877709,0.1936,120
42.83803116,-78.68777115,0.2383,121
42.83803118,-78.68777124,0.2534,122
42.83803133,-78.68777114,0.2459,123
42.83803138,-78.68777121,0.2656,124
42.83803136,-78.68777122,0.1815,125
42.83803129,-78.68777131,0.0809,126
42.83803118,-78.6877714,0.1673,127
42.83803105,-78.68777168,0.3369,128
42.83803093,-78.68777173,0.508,129
42.83803068,-78.68777188,0.656,130
42.83803063,-78.68777204,0.5333,131
42.83803075,-78.68777206,0.3163,132
42.83803076,-78.68777218,0.213,133
42.83803077,-78.68777223,0.1636,134
42.83803078,-78.6877723,0.0893,135
42.83803078,-78.6877723,0.1176,136
42.83803064,-78.6877723,0.1955,137
42.83803068,-78.68777234,0.144,138
42.83803072,-78.68777239,0.0984,139
42.83803072,-78.68777239,0.0912,140
42.83803074,-78.68777251,0.0873,141
42.83803076,-78.68777245,0.1054,142
42.83803072,-78.68777243,0.0804,143
42.83803078,-78.68777239,0.0709,144
42.83803078,-78.68777251,0.1056,145
42.83803073,-78.68777251,0.069,146
42.83803078,-78.68777258,0.1117,147
42.83803086,-78.68777261,0.0834,148
42.83803083,-78.68777263,0.0907,149
42.83803094,-78.68777266,0.049,150
42.83803094,-78.68777265,0.059,151
42.83803094,-78.6877727,0.0511,152
42.83803083,-78.68777263,0.0709,153
42.83803093,-78.68777265,0.0447,154
